"시도","시군구","성별","0~4세","5~9세","10~14세","15~19세","20~24세","25~29세","30~34세","35~39세","40~44세","45~49세","50~54세","55~59세","60~64세","65~69세","70~74세","75~79세","80세이상"
"경기도","용인시 수지구","여","28","21","12","130","415","191","147","143","117","112","112","79","38","10","3","2","1"
"경기도","용인시 처인구","남","98","46","18","67","751","1517","1304","843","447","357","302","230","101","33","10","0","2"
"경기도","용인시 처인구","여","88","47","22","83","373","531","499","307","239","293","328","263","89","33","4","0","3"
"경기도","의왕시","남","12","9","6","5","69","113","99","74","49","53","48","35","20","7","2","1","0"
"경기도","의왕시","여","17","6","4","4","53","95","105","82","56","52","48","43","18","2","2","1","0"
"경기도","의정부시","남","38","34","25","103","266","270","211","207","164","163","173","125","67","34","17","3","6"
"경기도","의정부시","여","53","36","15","48","253","329","320","244","174","219","218","169","79","30","13","5","5"
"경기도","이천시","남","49","30","8","31","544","1256","856","515","295","194","180","137","38","22","3","3","1"
"경기도","이천시","여","37","23","15","16","342","693","441","305","166","215","212","167","59","21","3","2","0"
"경기도","파주시","남","64","36","22","28","1107","1809","1599","1225","665","422","321","184","83","29","11","3","3"
"경기도","파주시","여","55","38","23","25","222","520","542","395","287","320","301","219","82","24","7","3","2"
"경기도","평택시","남","373","206","96","200","957","2351","2531","2004","1159","955","869","661","269","112","61","29","19"
"경기도","평택시","여","412","191","107","211","538","1081","1353","993","679","920","866","773","270","62","14","10","8"
"경기도","포천시","남","31","34","16","73","1414","3014","2311","1308","659","349","224","150","42","21","5","4","4"
"경기도","포천시","여","38","38","17","41","388","576","433","314","240","221","214","146","62","14","8","4","1"
"경기도","하남시","남","9","8","6","4","167","353","315","187","89","60","67","45","22","9","5","0","0"
"경기도","하남시","여","5","9","4","11","67","107","125","103","72","79","104","76","24","9","6","0","0"
"경기도","화성시","남","332","186","80","96","2850","6952","6649","4381","2014","1216","1030","757","240","49","18","8","4"
"경기도","화성시","여","309","165","103","105","733","1608","1757","1189","829","940","957","654","233","52","10","4","6"
"경상남도","거제시","남","131","108","60","32","259","1292","1583","1151","632","458","313","275","160","57","20","4","3"
"경상남도","거제시","여","126","115","81","38","159","382","428","347","201","227","214","152","56","20","3","0","2"
"경상남도","거창군","남","0","0","0","3","25","58","50","38","14","12","15","24","11","4","0","0","1"
"경상남도","거창군","여","0","1","1","4","33","47","40","30","15","25","29","27","14","6","0","0","0"
"경상남도","고성군","남","3","1","6","2","76","261","307","171","88","45","27","13","14","4","1","1","0"
"경상남도","고성군","여","1","1","1","5","41","73","77","33","30","42","42","26","14","2","1","1","1"
"경상남도","김해시","남","156","113","62","161","1497","3569","3702","2174","1070","557","390","227","94","38","10","1","1"
"경상남도","김해시","여","182","113","60","141","497","926","857","493","350","384","393","257","102","28","10","6","5"
"경상남도","남해군","남","0","3","2","1","88","190","165","99","60","25","10","8","8","7","2","0","2"
"경상남도","남해군","여","1","3","1","1","11","18","39","17","14","12","21","16","9","0","0","1","0"
"경상남도","밀양시","남","5","1","2","6","196","402","291","151","76","33","30","35","18","6","1","0","2"
"경상남도","밀양시","여","8","1","4","21","523","246","141","68","37","46","59","59","18","5","4","0","2"
"경상남도","사천시","남","13","14","13","8","186","560","581","424","292","141","88","62","16","8","2","0","1"
"경상남도","사천시","여","12","17","13","12","72","123","98","64","60","65","77","62","20","6","1","2","0"
"경상남도","산청군","남","1","2","2","1","30","100","54","42","15","15","15","9","4","3","2","0","0"
"경상남도","산청군","여","1","2","4","3","76","104","54","22","14","17","13","18","4","2","2","0","0"
"경상남도","양산시","남","55","38","24","28","384","992","1008","662","327","205","144","100","32","17","3","2","0"
"경상남도","양산시","여","49","33","16","29","144","387","359","223","147","169","160","112","50","10","5","0","1"
"경상남도","의령군","남","2","1","1","1","42","142","136","62","38","14","14","14","4","3","0","0","0"
"경상남도","의령군","여","3","2","0","4","38","81","56","21","21","22","25","18","10","0","0","0","0"
"경상남도","진주시","남","30","16","6","85","458","746","723","400","162","106","92","79","40","16","6","1","1"
"경상남도","진주시","여","31","15","6","102","382","439","262","157","80","118","137","100","51","14","4","1","0"
"경상남도","창녕군","남","21","14","6","2","191","486","399","223","114","67","60","47","21","1","3","0","1"
"경상남도","창녕군","여","12","12","6","4","78","178","109","87","62","65","61","54","25","5","0","2","0"
"경상남도","창원시 마산합포구","남","8","2","2","29","157","293","304","183","113","86","58","43","20","10","4","2","0"
"경상남도","창원시 마산합포구","여","11","5","5","26","190","161","114","71","56","61","79","47","25","8","2","0","5"
"경상남도","창원시 마산회원구","남","16","12","2","22","113","323","320","146","77","86","73","59","22","2","3","1","0"
"경상남도","창원시 마산회원구","여","15","7","4","15","120","171","161","94","67","86","86","77","29","4","5","0","0"
"경상남도","창원시 성산구","남","26","15","10","13","222","842","863","453","206","139","94","61","26","10","7","0","0"
"경상남도","창원시 성산구","여","33","14","9","14","87","192","211","133","84","94","96","90","25","7","2","1","2"
"경상남도","창원시 의창구","남","36","19","5","16","226","602","591","342","191","152","142","68","33","12","3","2","0"
"경상남도","창원시 의창구","여","32","17","10","23","170","269","249","156","111","141","158","100","33","9","4","0","1"
"경상남도","창원시 진해구","남","48","16","13","22","143","452","519","304","187","126","120","73","26","6","3","1","1"
"경상남도","창원시 진해구","여","49","13","8","7","83","193","218","126","89","115","119","102","31","8","1","1","0"
"경상남도","통영시","남","7","7","5","9","216","697","758","571","316","182","69","53","17","6","2","0","1"
"경상남도","통영시","여","6","3","4","9","79","140","126","73","70","91","87","60","21","5","1","0","1"
"경상남도","하동군","남","0","1","0","2","32","73","42","17","12","12","15","14","6","3","1","0","0"
"경상남도","하동군","여","0","1","0","2","51","84","46","25","22","17","29","30","13","5","0","0","0"
"경상남도","함안군","남","13","9","5","10","300","903","859","491","223","72","55","32","18","5","2","1","0"
"경상남도","함안군","여","10","10","3","6","61","126","109","71","35","49","67","37","27","5","0","1","0"
"경상남도","함양군","남","0","1","1","0","17","39","52","24","11","14","11","10","7","2","2","1","2"
"경상남도","함양군","여","1","1","2","0","21","30","40","20","25","20","17","17","13","4","0","1","1"
