"시도","시군구","성별","문화예술(D-1)","구직(D-10)","유학(D-2)","기술연수(D-3)","일반연수(D-4)","취재(D-5)","종교(D-6)","주재(D-7)","기업투자(D-8)","무역경영(D-9)","교수(E-1)","선원취업(E-10)","회화(E-2)","연구(E-3)","기술지도(E-4)","전문직업(E-5)","예술흥행(E-6)","특정활동(E-7)","비전문취업(E-9)","방문동거(F-1)","거주(F-2)","동반(F-3)","영주(F-5)","결혼이민(F-6)","기타(G-1)","관광취업(H-1)","방문취업(H-2)","기타"
"경상북도","청도군","남","0","0","0","1","0","0","0","0","0","0","0","0","4","0","0","0","0","0","443","38","3","0","8","5","1","0","14","0"
"경상북도","청도군","여","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","318","54","8","0","16","93","1","0","9","0"
"경상북도","청송군","남","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","19","16","3","0","2","3","0","0","3","0"
"경상북도","청송군","여","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","1","34","6","0","8","89","0","0","5","0"
"경상북도","칠곡군","남","0","1","44","8","12","0","8","5","6","0","0","0","19","0","0","0","2","13","2113","94","17","9","44","55","118","0","98","102"
"경상북도","칠곡군","여","0","2","46","5","7","0","0","1","0","0","0","0","30","0","0","0","53","1","229","156","24","10","88","361","44","2","79","67"
"경상북도","포항시 남구","남","0","4","91","0","6","0","0","6","4","6","19","682","21","93","1","0","2","25","705","120","14","25","54","32","50","0","60","4"
"경상북도","포항시 남구","여","0","2","59","0","8","0","0","1","0","0","2","1","23","19","0","0","12","10","18","184","27","76","139","419","21","0","38","2"
"경상북도","포항시 북구","남","0","11","99","0","269","0","0","0","5","1","17","195","20","2","1","0","9","28","259","102","17","32","47","43","13","0","55","1"
"경상북도","포항시 북구","여","0","9","98","0","182","0","1","0","0","0","6","0","21","0","0","0","11","8","5","142","22","39","126","364","3","0","34","2"
"광주광역시","광산구","남","0","60","561","16","315","0","12","0","21","3","2","0","48","16","0","0","0","79","3537","802","60","42","93","166","415","0","1253","0"
"광주광역시","광산구","여","0","66","619","0","232","0","9","0","0","0","2","0","65","3","0","0","5","14","144","961","62","63","294","1008","109","0","997","0"
"광주광역시","남구","남","0","3","90","0","59","0","5","0","0","0","7","0","30","0","0","0","0","29","34","107","12","13","30","37","6","0","55","14"
"광주광역시","남구","여","0","3","140","0","43","0","11","0","0","0","3","0","62","1","0","0","0","3","3","127","35","12","77","303","2","8","26","11"
"광주광역시","동구","남","0","15","211","0","138","0","4","0","0","1","6","0","21","5","0","0","8","54","59","37","26","7","38","14","8","0","33","0"
"광주광역시","동구","여","0","11","171","0","115","0","0","0","0","0","7","0","34","0","0","0","5","11","0","54","22","18","61","122","2","0","19","1"
"광주광역시","북구","남","0","24","715","1","242","0","13","1","0","0","13","0","49","65","0","0","3","47","396","180","33","67","80","80","63","2","132","0"
"광주광역시","북구","여","0","36","671","0","147","0","5","0","3","0","2","0","49","16","0","0","1","18","61","313","69","145","190","698","13","1","108","0"
"광주광역시","서구","남","0","8","21","0","5","0","11","1","4","1","4","0","48","1","0","0","11","59","175","113","13","9","54","40","48","0","105","1"
"광주광역시","서구","여","0","10","40","0","4","0","5","0","0","0","0","0","72","0","0","0","10","17","3","165","32","14","101","357","8","2","60","2"
"대구광역시","남구","남","1","3","20","0","30","0","0","2","1","2","2","0","25","0","0","0","6","8","5","78","34","2","67","32","13","0","24","97"
"대구광역시","남구","여","0","2","22","0","28","0","8","0","0","0","0","0","22","1","0","0","27","7","1","78","27","12","95","228","13","0","22","73"
