"id","location","gender","age_arange","age_total"
89,강북구,여,from15to19,50
90,강북구,여,from20to24,302
91,강북구,여,from25to29,367
92,강북구,여,from30to34,289
93,강북구,여,from35to39,199
94,강북구,여,from40to44,143
95,강북구,여,from45to49,181
96,강북구,여,from50to54,235
97,강북구,여,from55to59,198
98,강북구,여,from60to64,85
99,강북구,여,from65to69,29
100,강북구,여,from70to74,11
101,강북구,여,from75to79,4
102,강북구,여,upto80,6
103,강서구,남,from0to4,127
104,강서구,남,from5to9,66
105,강서구,남,from10to14,22
106,강서구,남,from15to19,31
107,강서구,남,from20to24,107
108,강서구,남,from25to29,311
109,강서구,남,from30to34,405
110,강서구,남,from35to39,340
111,강서구,남,from40to44,302
112,강서구,남,from45to49,358
113,강서구,남,from50to54,423
114,강서구,남,from55to59,378
115,강서구,남,from60to64,204
116,강서구,남,from65to69,67
117,강서구,남,from70to74,24
118,강서구,남,from75to79,16
119,강서구,남,upto80,5
120,강서구,여,from0to4,120
121,강서구,여,from5to9,59
122,강서구,여,from10to14,23
123,강서구,여,from15to19,73
124,강서구,여,from20to24,184
125,강서구,여,from25to29,451
126,강서구,여,from30to34,536
127,강서구,여,from35to39,408
128,강서구,여,from40to44,228
129,강서구,여,from45to49,332
130,강서구,여,from50to54,402
131,강서구,여,from55to59,348
132,강서구,여,from60to64,139
133,강서구,여,from65to69,42
134,강서구,여,from70to74,14
135,강서구,여,from75to79,14
136,강서구,여,upto80,5
137,관악구,남,from0to4,339
138,관악구,남,from5to9,199
139,관악구,남,from10to14,75
140,관악구,남,from15to19,111
141,관악구,남,from20to24,406
142,관악구,남,from25to29,911
143,관악구,남,from30to34,1087
144,관악구,남,from35to39,826
145,관악구,남,from40to44,654
146,관악구,남,from45to49,908
147,관악구,남,from50to54,1178
148,관악구,남,from55to59,1078
149,관악구,남,from60to64,424
150,관악구,남,from65to69,100
151,관악구,남,from70to74,23
152,관악구,남,from75to79,12
153,관악구,남,upto80,14
154,관악구,여,from0to4,341
155,관악구,여,from5to9,164
156,관악구,여,from10to14,97
157,관악구,여,from15to19,183
158,관악구,여,from20to24,975
159,관악구,여,from25to29,1310
160,관악구,여,from30to34,1023
161,관악구,여,from35to39,650
162,관악구,여,from40to44,556
163,관악구,여,from45to49,940
164,관악구,여,from50to54,1275
165,관악구,여,from55to59,1190
166,관악구,여,from60to64,415
167,관악구,여,from65to69,96
168,관악구,여,from70to74,30
169,관악구,여,from75to79,18
170,관악구,여,upto80,24
171,광진구,남,from0to4,235
172,광진구,남,from5to9,129
173,광진구,남,from10to14,77
174,광진구,남,from15to19,227
175,광진구,남,from20to24,1026
176,광진구,남,from25to29,805
177,광진구,남,from30to34,680
178,광진구,남,from35to39,487
179,광진구,남,from40to44,366
180,광진구,남,from45to49,539
181,광진구,남,from50to54,710
182,광진구,남,from55to59,635
183,광진구,남,from60to64,229
184,광진구,남,from65to69,52
185,광진구,남,from70to74,14
186,광진구,남,from75to79,7
187,광진구,남,upto80,13
188,광진구,여,from0to4,228
189,광진구,여,from5to9,124
190,광진구,여,from10to14,53
191,광진구,여,from15to19,477
192,광진구,여,from20to24,2043
193,광진구,여,from25to29,1224
194,광진구,여,from30to34,683
195,광진구,여,from35to39,476
196,광진구,여,from40to44,390
197,광진구,여,from45to49,647
198,광진구,여,from50to54,864
199,광진구,여,from55to59,830
200,광진구,여,from60to64,248
201,광진구,여,from65to69,44
202,광진구,여,from70to74,12
203,광진구,여,from75to79,8
204,광진구,여,upto80,13
205,구로구,남,from0to4,632
206,구로구,남,from5to9,380
207,구로구,남,from10to14,192
208,구로구,남,from15to19,188
209,구로구,남,from20to24,266
210,구로구,남,from25to29,1341
211,구로구,남,from30to34,1918
212,구로구,남,from35to39,1671
213,구로구,남,from40to44,1668
214,구로구,남,from45to49,2463
215,구로구,남,from50to54,2927
216,구로구,남,from55to59,2442
217,구로구,남,from60to64,976
218,구로구,남,from65to69,199
219,구로구,남,from70to74,57
220,구로구,남,from75to79,31
221,구로구,남,upto80,32
222,구로구,여,from0to4,581
223,구로구,여,from5to9,338
224,구로구,여,from10to14,177
225,구로구,여,from15to19,119
226,구로구,여,from20to24,356
227,구로구,여,from25to29,992
228,구로구,여,from30to34,1401
229,구로구,여,from35to39,1095
230,구로구,여,from40to44,1015
231,구로구,여,from45to49,1757
232,구로구,여,from50to54,2375
233,구로구,여,from55to59,2189
234,구로구,여,from60to64,777
235,구로구,여,from65to69,159
236,구로구,여,from70to74,49
237,구로구,여,from75to79,30
238,구로구,여,upto80,24
239,금천구,남,from0to4,417
240,금천구,남,from5to9,253
241,금천구,남,from10to14,87
242,금천구,남,from15to19,64
243,금천구,남,from20to24,129
244,금천구,남,from25to29,747
245,금천구,남,from30to34,1158
246,금천구,남,from35to39,960
247,금천구,남,from40to44,1060
248,금천구,남,from45to49,1537
249,금천구,남,from50to54,1787
250,금천구,남,from55to59,1404
251,금천구,남,from60to64,507
252,금천구,남,from65to69,117
253,금천구,남,from70to74,24
254,금천구,남,from75to79,15
255,금천구,남,upto80,12
256,금천구,여,from0to4,390
257,금천구,여,from5to9,230
258,금천구,여,from10to14,68
259,금천구,여,from15to19,72
260,금천구,여,from20to24,156
261,금천구,여,from25to29,612
262,금천구,여,from30to34,794
263,금천구,여,from35to39,655
264,금천구,여,from40to44,623
265,금천구,여,from45to49,1141
266,금천구,여,from50to54,1462
267,금천구,여,from55to59,1296
268,금천구,여,from60to64,400
269,금천구,여,from65to69,106
270,금천구,여,from70to74,25
271,금천구,여,from75to79,12
272,금천구,여,upto80,17
273,노원구,남,from0to4,32
274,노원구,남,from5to9,21
275,노원구,남,from10to14,11
276,노원구,남,from15to19,133
277,노원구,남,from20to24,354
278,노원구,남,from25to29,252
279,노원구,남,from30to34,171
280,노원구,남,from35to39,122
281,노원구,남,from40to44,98
282,노원구,남,from45to49,112
283,노원구,남,from50to54,85
284,노원구,남,from55to59,58
285,노원구,남,from60to64,40
286,노원구,남,from65to69,14
287,노원구,남,from70to74,7
288,노원구,남,from75to79,5
289,노원구,남,upto80,2
290,노원구,여,from0to4,38
