"id","location","gender","country","country_total"
165,강남구,남,몬테네그로,0
166,강남구,남,보스니아-헤르체고비나,0
167,강남구,남,파푸아뉴기니,0
168,강남구,남,몰타,0
169,강남구,남,코모로,0
170,강남구,남,가이아나,0
171,강남구,남,몰디브,0
172,강남구,남,레소토,0
173,강남구,남,수리남,0
174,강남구,남,코소보,0
175,강남구,남,스와질란드,0
176,강남구,남,키리바시,0
177,강남구,남,통가,0
178,강남구,남,나우루,0
179,강남구,남,바누아투,0
180,강남구,남,세인트루시아,0
181,강남구,남,팔라우,0
182,강남구,남,나미비아,0
183,강남구,남,적도기니,0
184,강남구,남,도미니카연방,0
185,강남구,남,카보베르데,0
186,강남구,남,그레나다,0
187,강남구,남,기타,0
188,강남구,여,한국계중국인,486
189,강남구,여,중국,536
190,강남구,여,베트남,99
191,강남구,여,우즈베키스탄,25
192,강남구,여,캄보디아,14
193,강남구,여,필리핀,53
194,강남구,여,인도네시아,18
195,강남구,여,네팔,3
196,강남구,여,태국,44
197,강남구,여,스리랑카,1
198,강남구,여,미국,309
199,강남구,여,미얀마,0
200,강남구,여,일본,265
201,강남구,여,몽골,35
202,강남구,여,(타이완),71
203,강남구,여,방글라데시,2
204,강남구,여,파키스탄,5
205,강남구,여,카자흐스탄,14
206,강남구,여,인도,11
207,강남구,여,러시아(연방),39
208,강남구,여,캐나다,73
209,강남구,여,키르기즈,2
210,강남구,여,영국,26
211,강남구,여,프랑스,42
212,강남구,여,이집트,8
213,강남구,여,우크라이나,5
214,강남구,여,말레이시아,7
215,강남구,여,독일,18
216,강남구,여,나이지리아,0
217,강남구,여,남아프리카공화국,12
218,강남구,여,동티모르,0
219,강남구,여,(홍콩),13
220,강남구,여,오스트레일리아,11
221,강남구,여,시리아,0
222,강남구,여,이란,8
223,강남구,여,가나,0
224,강남구,여,사우디아라비아,17
225,강남구,여,카메룬,0
226,강남구,여,터키,16
227,강남구,여,싱가포르,10
228,강남구,여,뉴질랜드,8
229,강남구,여,에티오피아,0
230,강남구,여,브라질,7
231,강남구,여,노르웨이,0
232,강남구,여,이탈리아,11
233,강남구,여,라오스,0
234,강남구,여,모로코,5
